species,dd long,dd lat
flood,288381.35259455,4789248.79613620
flood,288881.35259455,4789248.79613620
flood,288881.35259455,4788748.79613620
flood,289381.35259455,4788248.79613620
flood,289381.35259455,4787748.79613620
flood,289881.35259455,4787748.79613620
flood,290381.35259455,4787748.79613620
flood,289881.35259455,4787248.79613620
flood,289881.35259455,4786748.79613620
flood,290381.35259455,4785748.79613620
flood,290381.35259455,4785248.79613620
flood,290381.35259455,4784748.79613620
flood,290381.35259455,4784248.79613620
flood,290881.35259455,4783748.79613620
flood,290881.35259455,4783248.79613620
flood,291381.35259455,4783248.79613620
flood,291881.35259455,4783248.79613620
flood,291381.35259455,4782748.79613620
flood,291881.35259455,4782748.79613620
flood,292381.35259455,4782748.79613620
flood,291881.35259455,4782248.79613620
flood,292881.35259455,4781748.79613620
flood,293381.35259455,4781248.79613620
flood,293381.35259455,4780748.79613620
flood,293881.35259455,4780748.79613620
flood,293381.35259455,4779748.79613620
flood,292881.35259455,4779248.79613620
flood,291881.35259455,4778748.79613620
flood,291881.35259455,4778248.79613620
flood,291381.35259455,4777748.79613620
flood,291881.35259455,4777248.79613620
flood,291881.35259455,4776748.79613620
flood,292881.35259455,4776748.79613620
flood,292881.35259455,4776248.79613620
flood,293381.35259455,4776248.79613620
flood,292381.35259455,4775748.79613620
flood,292881.35259455,4775748.79613620
flood,293381.35259455,4775748.79613620
flood,293881.35259455,4775748.79613620
flood,292881.35259455,4775248.79613620
flood,293381.35259455,4775248.79613620
flood,293881.35259455,4775248.79613620
flood,294381.35259455,4775248.79613620
flood,292881.35259455,4774748.79613620
flood,293381.35259455,4774748.79613620
flood,293881.35259455,4774748.79613620
flood,294381.35259455,4774748.79613620
flood,292381.35259455,4774248.79613620
flood,292881.35259455,4774248.79613620
flood,293381.35259455,4774248.79613620
flood,293881.35259455,4774248.79613620
flood,294381.35259455,4774248.79613620
flood,300881.35259455,4773248.79613620
flood,300881.35259455,4772748.79613620
flood,291381.35259455,4772248.79613620
flood,290881.35259455,4771748.79613620
flood,291381.35259455,4771748.79613620
flood,299881.35259455,4771748.79613620
flood,290381.35259455,4771248.79613620
flood,290881.35259455,4771248.79613620
flood,300381.35259455,4771248.79613620
flood,290381.35259455,4770748.79613620
flood,290881.35259455,4770748.79613620
flood,291381.35259455,4770748.79613620
flood,299881.35259455,4770748.79613620
flood,289881.35259455,4770248.79613620
flood,290381.35259455,4770248.79613620
flood,290881.35259455,4770248.79613620
flood,299881.35259455,4770248.79613620
flood,290381.35259455,4769748.79613620
flood,290881.35259455,4769748.79613620
flood,299381.35259455,4769748.79613620
flood,290381.35259455,4769248.79613620
flood,290881.35259455,4769248.79613620
flood,298381.35259455,4769248.79613620
flood,298881.35259455,4769248.79613620
flood,299381.35259455,4769248.79613620
flood,289881.35259455,4768748.79613620
flood,290381.35259455,4768748.79613620
flood,290881.35259455,4768748.79613620
flood,297881.35259455,4768748.79613620
flood,298881.35259455,4768748.79613620
flood,289381.35259455,4768248.79613620
flood,289881.35259455,4768248.79613620
flood,290381.35259455,4768248.79613620
flood,290881.35259455,4768248.79613620
flood,297881.35259455,4768248.79613620
flood,298381.35259455,4768248.79613620
flood,289381.35259455,4767748.79613620
flood,289881.35259455,4767748.79613620
flood,290381.35259455,4767748.79613620
flood,292881.35259455,4767748.79613620
flood,293381.35259455,4767748.79613620
flood,295881.35259455,4767748.79613620
flood,297381.35259455,4767748.79613620
flood,297881.35259455,4767748.79613620
flood,288381.35259455,4767248.79613620
flood,288881.35259455,4767248.79613620
flood,289381.35259455,4767248.79613620
flood,289881.35259455,4767248.79613620
flood,290381.35259455,4767248.79613620
flood,292381.35259455,4767248.79613620
flood,292881.35259455,4767248.79613620
flood,293381.35259455,4767248.79613620
flood,293881.35259455,4767248.79613620
flood,294381.35259455,4767248.79613620
flood,295381.35259455,4767248.79613620
flood,295881.35259455,4767248.79613620
flood,296381.35259455,4767248.79613620
flood,296881.35259455,4767248.79613620
flood,297381.35259455,4767248.79613620
flood,288381.35259455,4766748.79613620
flood,288881.35259455,4766748.79613620
flood,289381.35259455,4766748.79613620
flood,289881.35259455,4766748.79613620
flood,290381.35259455,4766748.79613620
flood,291881.35259455,4766748.79613620
flood,292381.35259455,4766748.79613620
flood,292881.35259455,4766748.79613620
flood,294881.35259455,4766748.79613620
flood,295381.35259455,4766748.79613620
flood,295881.35259455,4766748.79613620
flood,296881.35259455,4766748.79613620
flood,288381.35259455,4766248.79613620
flood,288881.35259455,4766248.79613620
flood,289381.35259455,4766248.79613620
flood,289881.35259455,4766248.79613620
flood,290381.35259455,4766248.79613620
flood,290881.35259455,4766248.79613620
flood,294881.35259455,4766248.79613620
flood,289381.35259455,4765748.79613620
flood,289881.35259455,4765748.79613620
flood,290381.35259455,4765748.79613620
flood,290881.35259455,4765748.79613620
flood,289381.35259455,4765248.79613620
flood,289881.35259455,4765248.79613620
flood,290381.35259455,4765248.79613620
flood,289381.35259455,4764748.79613620
flood,289881.35259455,4764748.79613620
flood,288881.35259455,4764248.79613620
flood,289381.35259455,4764248.79613620
flood,289881.35259455,4764248.79613620
flood,275881.35259455,4763748.79613620
flood,288881.35259455,4763748.79613620
flood,289381.35259455,4763748.79613620
flood,289881.35259455,4763748.79613620
flood,276381.35259455,4763248.79613620
flood,288381.35259455,4763248.79613620
flood,288881.35259455,4763248.79613620
flood,289381.35259455,4763248.79613620
flood,289881.35259455,4763248.79613620
flood,287881.35259455,4762748.79613620
flood,288381.35259455,4762748.79613620
flood,288881.35259455,4762748.79613620
flood,276881.35259455,4762248.79613620
flood,287881.35259455,4762248.79613620
flood,288381.35259455,4762248.79613620
flood,288881.35259455,4762248.79613620
flood,276881.35259455,4761748.79613620
flood,277381.35259455,4761748.79613620
flood,277881.35259455,4761748.79613620
flood,287381.35259455,4761748.79613620
flood,287881.35259455,4761748.79613620
flood,288381.35259455,4761748.79613620
flood,277881.35259455,4761248.79613620
flood,278381.35259455,4761248.79613620
flood,278881.35259455,4761248.79613620
flood,279381.35259455,4761248.79613620
flood,286881.35259455,4761248.79613620
flood,287381.35259455,4761248.79613620
flood,287881.35259455,4761248.79613620
flood,288381.35259455,4761248.79613620
flood,278381.35259455,4760748.79613620
flood,278881.35259455,4760748.79613620
flood,286881.35259455,4760748.79613620
flood,287381.35259455,4760748.79613620
flood,287881.35259455,4760748.79613620
flood,278881.35259455,4760248.79613620
flood,286881.35259455,4760248.79613620
flood,287381.35259455,4760248.79613620
flood,278381.35259455,4759748.79613620
flood,286381.35259455,4759748.79613620
flood,286881.35259455,4759748.79613620
flood,287381.35259455,4759748.79613620
flood,287881.35259455,4759748.79613620
flood,278381.35259455,4759248.79613620
flood,286381.35259455,4759248.79613620
flood,286881.35259455,4759248.79613620
flood,287381.35259455,4759248.79613620
flood,287881.35259455,4759248.79613620
flood,277381.35259455,4758748.79613620
flood,286381.35259455,4758748.79613620
flood,286881.35259455,4758748.79613620
flood,287381.35259455,4758748.79613620
flood,277881.35259455,4758248.79613620
flood,278881.35259455,4758248.79613620
flood,279381.35259455,4758248.79613620
flood,286381.35259455,4758248.79613620
flood,286881.35259455,4758248.79613620
flood,287381.35259455,4758248.79613620
flood,279381.35259455,4757748.79613620
flood,286381.35259455,4757748.79613620
flood,286881.35259455,4757748.79613620
flood,287381.35259455,4757748.79613620
flood,279381.35259455,4757248.79613620
flood,285881.35259455,4757248.79613620
flood,286381.35259455,4757248.79613620
flood,286881.35259455,4757248.79613620
flood,287381.35259455,4757248.79613620
flood,279381.35259455,4756748.79613620
flood,279881.35259455,4756748.79613620
flood,280381.35259455,4756748.79613620
flood,285881.35259455,4756748.79613620
flood,286381.35259455,4756748.79613620
flood,286881.35259455,4756748.79613620
flood,287381.35259455,4756748.79613620
flood,280381.35259455,4756248.79613620
flood,285381.35259455,4756248.79613620
flood,285881.35259455,4756248.79613620
flood,286381.35259455,4756248.79613620
flood,286881.35259455,4756248.79613620
flood,287381.35259455,4756248.79613620
flood,285381.35259455,4755748.79613620
flood,285881.35259455,4755748.79613620
flood,286381.35259455,4755748.79613620
flood,286881.35259455,4755748.79613620
